Author,Mapped Genres
saadia faruqi,"childrens, picture books, sports, chapter books, muslims"
r. j. palacio,"graphic novel, historical, middle grade, young adult, holocaust, fiction, historical"
amber smith,"romance, lgbt, young adult, contemporary, queer, young adult, realistic fiction"
tillie walden,"graphic novel, memoir, comic book, non-fiction, lgbt, queer, sports"
rob sanders,"picture books, childrens, social, non-fiction, activism, historical, poetry"
ami polonsky,"lgbt, middle grade, young adult, realistic fiction, fiction, contemporary, queer"
hurwin davida wills,"young adult, lgbt, fiction, queer, realistic fiction, gay, adult"
jamia wilson,"non-fiction, biography, historical, picture books, childrens, middle grade, african american"
iweala uzodinma,"fiction, lgbt, contemporary, queer, audiobook, young adult, africa"
kern peggy,"young adult, realistic fiction, fiction, contemporary, love, african american, childrens"
dee barbara,"middle grade, lgbt, contemporary, romance, queer, realistic fiction, fiction"
crystal frasier,"graphic novel, lgbt, young adult, romance, queer, lesbian, contemporary"
james lebron,"picture books, childrens, school, inspirational, fiction, storytime, cultural"
noble maillard kevin,"picture books, childrens, food, native american, indigenous, family, historical"
mitchell margaree king,"picture books, historical, cultural, family, childrens, african american, realistic fiction"
ward sarah,"young adult, lgbt, fiction, contemporary"
crdova zoraida,"fantasy, young adult, witches, urban, paranormal, magic, fiction"
evan kuhlman,"picture books, childrens, storytime, animals, fiction, adventure, nature"
anna mcquinn,"picture books, family, storytime, childrens, juvenile, african american, adventure"
jules jacqueline,"picture books, chapter books, childrens, spain"
alexie sherman,"young adult, fiction, contemporary, realistic fiction, humor, , native american"
anastasia higginbotham,"picture books, non-fiction, childrens, social, race, anti racist, activism"
stephen chbosky,"young adult, fiction, classics, coming of age, romance, mental health, realistic fiction"
uchida yoshiko,"historical, picture books, world war ii, war, childrens, cultural, japan"
adiba jaigirdar,"romance, lgbt, young adult, contemporary, queer, lesbian, fiction"
tony johnston,"picture books, holiday, childrens, halloween, non-fiction, family, cultural"
juno dawson,young adult
rotner shelley,"picture books, cultural, non-fiction, childrens, race, storytime, photography"
mosca julia finley,"picture books, biography, non-fiction, mathematics, childrens, science, african american"
villa jonny garza,"lgbt, romance, young adult, contemporary, queer, fiction, gay"
p. c. cast,"young adult, fantasy, vampires, paranormal, romance, fiction, supernatural"
kann claire,"romance, young adult, contemporary, lgbt, queer, fiction, new adult"
clarke hannah abigail,"fantasy, lgbt, young adult, lesbian, queer, witches, fiction"
lana popovi,"historical, horror, young adult, historical, lgbt, fantasy, lesbian"
leah johnson,"young adult, lgbt, romance, contemporary, audiobook, queer, fiction"
auriane desombre,"romance, lgbt, lesbian, young adult, queer, contemporary, fiction"
noxon christopher,"non-fiction, historical, politics, graphic novel, , audiobook, race"
anderson laurie halse,"poetry, young adult, feminism, audiobook, mental health, biography, contemporary"
diana pinguicha,"fantasy, lgbt, lesbian, young adult, romance, historical, retellings"
hanna nowinski,"lgbt, young adult, contemporary, romance, fiction, queer, young adult"
scott westerfeld,"young adult, dystopia, science fiction, fiction, fantasy, romance, teen"
bk-ymd faridah,"young adult, mystery, thriller, lgbt, contemporary, fiction, mystery"
k. arnold elana,"middle grade, realistic fiction, animals, autistic spectrum disorder, fiction, childrens, family"
mendez yamile saied,"picture books, family, childrens, cultural, realistic fiction, fiction, storytime"
sloan holly goldberg,"middle grade, lgbt, fiction, realistic fiction, contemporary, young adult, family"
christine heppermann,"young adult, poetry, contemporary, fiction, lgbt, realistic fiction, romance"
carlos hernandez,"middle grade, fantasy, science fiction, mythology, fiction, audiobook, humor"
lawson richard,"young adult, fiction, contemporary, realistic fiction, lgbt, family, young adult"
jill sherman,"biography, non-fiction"
keil melissa,"young adult, contemporary, romance, fiction, young adult, realistic fiction, humor"
robin stevenson,"young adult, teen, fiction, spain, mystery"
tatum beverly daniel,"non-fiction, race, education, social, anti racist, psychology, social"
jacobson jennifer richard,"young adult, teen, realistic fiction, mystery, , fiction, historical"
kaito blue flag,"manga, lgbt, romance, contemporary, young adult, comic book, queer"
duyvis corinne,"fantasy, science fiction, young adult, lgbt, queer, fiction, lesbian"
a. seba jaime,"lgbt, young adult, gay, lesbian"
myron uhlberg,"picture books, historical, childrens, realistic fiction, family, fiction, african american"
bowman akemi dawn,"contemporary, young adult, lgbt, queer, fiction, mental health, young adult"
ellen wittlinger,"lgbt, young adult, queer, fiction, transgender, realistic fiction, contemporary"
tamora pierce,"fantasy, young adult, fiction, magic, young adult, mystery, adventure"
claudia rankine,"poetry, non-fiction, race, essays, social, politics, african american"
mclemore anna-marie,"fantasy, young adult, historical, lgbt, retellings, magic, historical"
joseph bruchac,"picture books, native american, childrens, indigenous, cultural, folklore, fiction"
jo knowles,"young adult, realistic fiction, fiction, romance, contemporary, teen, death"
cheryl bardoe,"picture books, biography, mathematics, non-fiction, historical, childrens, science"
cale dietrich,"lgbt, romance, young adult, contemporary, queer, gay, thriller"
amy spalding,"young adult, contemporary, lgbt, fiction, romance, lesbian, audiobook"
ostertag molly knox,"graphic novel, fantasy, middle grade, comic book, lgbt, queer, young adult"
dee barbara,"middle grade, realistic fiction, fiction, young adult, contemporary, audiobook, childrens"
ogden charlie,lgbt
do anh,childrens
yuyi morales,"picture books, childrens, cultural, fiction, humor, realistic fiction, sports"
lauren myracle,"young adult, lgbt, romance, queer, fiction, contemporary, lesbian"
malala yousafzai,"picture books, biography, non-fiction, childrens, memoir, feminism, cultural"
sara gruen,"fiction, historical, romance, historical, adult, adult, contemporary"
k. l. walther,"romance, young adult, lgbt, contemporary, queer, fiction, young adult"
ten boom corrie,"non-fiction, biography, historical, christianity, memoir, classics, holocaust"
patricia mccormick,"young adult, fiction, realistic fiction, poetry, , historical, contemporary"
rowell rainbow,"fantasy, young adult, lgbt, queer, fiction, audiobook, magic"
vegas tenold,"non-fiction, politics, historical, race, audiobook, social, american"
gare thompson,"biography, non-fiction, historical, childrens, chapter books, american, politics"
polacco patricia,"picture books, lgbt, family, childrens, , adoption, realistic fiction"
e. r. frank,"young adult, fiction, realistic fiction, contemporary, abuse, teen, survival"
do anh,"childrens, graphic novel, middle grade"
hurston zora neale,"classics, fiction, historical, school, african american, , feminism"
andrs miedoso,"chapter books, childrens, humor, middle grade"
sally rooney,"fiction, contemporary, literary fiction, audiobook, ireland, adult, coming of age"
lee victoria,"fantasy, young adult, lgbt, science fiction, dystopia, romance, queer"
eve bunting,"picture books, childrens, historical, realistic fiction, fiction, cultural, family"
katie green,"graphic novel, non-fiction, memoir, mental health, comic book, graphic novel, biography"
lorenzi natalie dias,"middle grade, realistic fiction, fiction, family, childrens, cultural, young adult"
robin stevenson,"lgbt, young adult, contemporary, realistic fiction, fiction, lesbian, social"
jenny valentine,"young adult, fantasy, lgbt, romance, contemporary, audiobook, queer"
bulla clyde robert,"fiction, historical, american, childrens"
orlagh collins,"lgbt, young adult, contemporary, queer, romance, fiction, bisexual"
m. azmitia,"young adult, romance, poetry, lgbt, queer"
julia scheeres,"memoir, non-fiction, religion, biography, biography, autobiography, cults"
brie spangler,"young adult, romance, lgbt, contemporary, retellings, fiction, queer"
brown monica,"halloween, middle grade, chapter books, , childrens"
blake ashley herring,"lgbt, contemporary, young adult, romance, lesbian, queer, fiction"
jay coles,"young adult, lgbt, contemporary, romance, queer, fiction, sports"
emezi akwaeke,"fantasy, young adult, lgbt, fiction, queer, magic, audiobook"
brad meltzer,"biography, picture books, non-fiction, childrens, historical, african american, historical"
liz prince,"graphic novel, memoir, non-fiction, comic book, biography, feminism, gender"
laurie wallmark,"picture books, biography, non-fiction, science, historical, mathematics, childrens"
thor rosiee,"science fiction, lgbt, young adult, fantasy, queer, lesbian, romance"
miller natalie davis,"biography, middle grade, non-fiction"
p. c. cast,"fantasy, young adult, vampires, paranormal, romance, fiction, supernatural"
jelani memory,"childrens, picture books, non-fiction, race, anti racist, parenting, social"
maya angelou,"poetry, classics, feminism, non-fiction, audiobook, race, african american"
engle margarita,"picture books, holiday, dogs, childrens, animals, asia, realistic fiction"
w. evans shane,"picture books, historical, childrens, african american, social, cultural, historical"
saundra mitchell,"short stories, lgbt, anthology, young adult, queer, fantasy, romance"
gonzlez rigoberto,"lgbt, memoir, non-fiction, mental health, biography, queer"
king stephen,"fiction, horror, fantasy, audiobook, short stories, mystery, novella"
cohn rachel,"young adult, romance, contemporary, lgbt, fiction, realistic fiction, queer"
vashti harrison,"non-fiction, picture books, biography, historical, childrens, feminism, middle grade"
rhodes jewell parker,"historical, middle grade, young adult, realistic fiction, fiction, african american, childrens"
atwood margaret,"graphic novel, dystopia, fiction, comic book, feminism, science fiction, classics"
george madeleine,"lgbt, young adult, romance, fiction, queer, contemporary, realistic fiction"
ellen wittlinger,"middle grade, lgbt, realistic fiction, fiction, young adult, juvenile, romance"
megan stine,"biography, non-fiction, historical, childrens, middle grade, biography, american"
x. kendi ibram,"non-fiction, race, social, politics, audiobook, anti racist, historical"
robin talley,"romance, lgbt, young adult, contemporary, lesbian, queer, fiction"
tamora pierce,"fantasy, young adult, fiction, magic, young adult, high fantasy, teen"
coerr eleanor,"picture books, japan, historical, biography, war, non-fiction, childrens"
do anh,"childrens, fiction, graphic novel"
k. bynum betty,"picture books, childrens, african american"
ciara smyth,"romance, lgbt, lesbian, young adult, queer, contemporary, fiction"
jazz jennings,"non-fiction, lgbt, memoir, audiobook, biography, queer, biography"
patrisse khan-cullors,"young adult, audiobook, african american, mental health, politics, race, historical"
andrs miedoso,"chapter books, humor"
clare cassandra,"fantasy, young adult, romance, paranormal, urban, vampires, fiction"
sharon robinson,"historical, middle grade, sports, baseball, childrens, audiobook, juvenile"
greg howard,"middle grade, lgbt, fantasy, fiction, young adult, queer, mystery"
laura sibson,"fantasy, young adult, lgbt, lesbian, witches, contemporary, fiction"
dinah brown,"biography, non-fiction, childrens, historical, middle grade, chapter books, kids"
joseph bruchac,"native american, childrens, fiction, middle grade, realistic fiction, school, cultural"
aaron hartzler,"memoir, non-fiction, lgbt, religion, biography, biography, queer"
gennari jennifer,"middle grade, lgbt, realistic fiction, fiction, childrens, family, young adult"
caleb roehrig,"mystery, young adult, lgbt, thriller, fiction, romance, mystery"
alexie sherman,"picture books, childrens, family, realistic fiction, native american, indigenous, cultural"
saadia faruqi,"picture books, childrens, chapter books, fiction"
isabel allende,"fiction, magic, historical, fantasy, spain, historical, "
becky albertalli,"romance, lgbt, young adult, contemporary, queer, fiction, audiobook"
johnson kathleen jeffrie,"young adult, abuse, contemporary, lgbt, realistic fiction, fiction, queer"
lesla newman,"lgbt, picture books, , childrens, fiction, family, queer"
meg medina,"young adult, realistic fiction, fiction, contemporary, teen, audiobook, family"
s. e. hinton,"classics, young adult, fiction, school, school, coming of age, realistic fiction"
rhodes jewell parker,"middle grade, young adult, fiction, realistic fiction, historical, contemporary, social"
floyd cooper,"picture books, childrens, family, fiction, storytime, african american, love"
duncan tonatiuh,"picture books, non-fiction, historical, biography, childrens, cultural, historical"
don nardo,non-fiction
chloe schwenke,"memoir, non-fiction, lgbt, feminism, queer, transgender"
finch michelle,"lgbt, picture books, childrens, transgender, gender, school, non-fiction"
meg specksgoor,"young adult, lgbt, poetry, queer"
michelle schusterman,"middle grade, coding, realistic fiction, childrens"
ben philippe,"young adult, contemporary, fiction, realistic fiction, audiobook, humor, romance"
alex sanchez,"young adult, lgbt, gay, romance, fiction, queer, realistic fiction"
kelly jones,"middle grade, fantasy, humor, animals, childrens, fiction, magic"
blake ashley herring,"young adult, contemporary, lgbt, fiction, queer, romance, lesbian"
caroline o'donoghue,"fantasy, young adult, lgbt, queer, fiction, paranormal, witches"
roux madeleine,"horror, young adult, fantasy, paranormal, historical, gothic, mystery"
kirstin cronn-mills,"non-fiction, sports, lgbt, , transgender, queer"
carrie mesrobian,"lgbt, young adult, contemporary, romance, realistic fiction, fiction, gay"
dashka slater,"non-fiction, lgbt, true crime, audiobook, crime, social, queer"
b. t. gottfred,"young adult, romance, contemporary, fiction, teen, realistic fiction, "
laird elizabeth,"fiction, young adult, historical, middle grade, war, childrens, sports"
ramos nonieqa,"young adult, lgbt, contemporary, romance, queer, realistic fiction, fiction"
roxanne dunbar-ortiz,"historical, non-fiction, indigenous, social, race, native american, audiobook"
toni morrison,"fiction, classics, historical, magic, historical, , school"
joseph bruchac,"historical, middle grade, historical, native american, fiction, indigenous, young adult"
saadia faruqi,"childrens, picture books, school, fiction, chapter books, books about books, realistic fiction"
alice oseman,"graphic novel, lgbt, young adult, queer, contemporary, comic book, fiction"
r. banaji mahzarin,"non-fiction, psychology, science, anti racist, race, social, social"
hutchinson shaun david,"young adult, lgbt, contemporary, science fiction, fiction, queer, romance"
sidney ii ronnie,childrens
rosin lindsey,"young adult, contemporary, romance, lgbt, fiction, chick lit, realistic fiction"
michelle alexander,"non-fiction, historical, politics, race, social, social, audiobook"
phil bildner,"middle grade, realistic fiction"
plath sylvia,"fiction, feminism, mental health, psychology, , literary fiction, "
ellen labrecque,"biography, non-fiction, childrens, historical, middle grade, biography"
lauren myracle,"young adult, mystery, fiction, realistic fiction, contemporary, lgbt, teen"
seth rudetsky,"young adult, lgbt, humor, fiction, contemporary, gay, audiobook"
jules jacqueline,"childrens, spain, chapter books, fiction"
helene dunbar,"lgbt, young adult, historical, queer, contemporary, romance, historical"
ryan pam muoz,"historical, middle grade, young adult, fiction, childrens, school, historical"
saadia faruqi,"fiction, childrens, realistic fiction, picture books"
dean atta,"poetry, lgbt, young adult, contemporary, queer, fiction, audiobook"
nutt amy ellis,"non-fiction, lgbt, biography, memoir, audiobook, queer, gender"
friend natasha,"young adult, realistic fiction, , fiction, middle grade, teen, contemporary"
jenni hendriks,"young adult, contemporary, fiction, feminism, realistic fiction, audiobook, young adult"
s. davis tanita,"young adult, lgbt, realistic fiction, fiction, queer, family, transgender"
m. t. anderson,"young adult, science fiction, dystopia, fiction, teen, audiobook, fantasy"
amy reed,"young adult, contemporary, feminism, lgbt, fiction, realistic fiction, young adult"
megan madison,"picture books, childrens, non-fiction, race, social, , anti racist"
adam silvera,"fantasy, young adult, lgbt, queer, fiction, urban, audiobook"
misa sugiura,"lgbt, young adult, romance, contemporary, queer, lesbian, fiction"
er frank,"young adult, , realistic fiction, short stories, fiction, contemporary, teen"
jules jacqueline,"spain, chapter books, childrens, picture books"
ellen hopkins,"poetry, fiction, romance, contemporary, adult, young adult, adult"
jasper sanchez,"lgbt, young adult, contemporary, queer, romance, fiction, transgender"
tess sharpe,"young adult, mystery, lgbt, contemporary, romance, lesbian, thriller"
machado carmen maria,"non-fiction, memoir, lgbt, queer, audiobook, horror, feminism"
ward jesmyn,"fiction, contemporary, literary fiction, historical, african american, , adult"
saadia faruqi,"picture books, childrens, fiction, juvenile, chapter books"
nic stone,"middle grade, realistic fiction, fiction, audiobook, adventure, family, contemporary"
eric velsquez,"picture books, family, childrens, cultural, storytime, fiction, spain"
jay asher,"young adult, fiction, contemporary, realistic fiction, mystery, mental health, teen"
sarah fabiny,"biography, non-fiction, science, nature, historical, childrens, middle grade"
barzak christopher,"lgbt, fantasy, young adult, magic, queer, fiction, romance"
echo brown,"fantasy, young adult, magic, contemporary, fiction, audiobook, young adult"
kalynn bayron,"fantasy, young adult, lgbt, romance, queer, retellings, lesbian"
blakemore kim taylor,"historical, young adult, historical, 19th century, fiction, young adult, teen"
angela diterlizzi,"picture books, childrens, growth mindset, inspirational, storytime, fiction, fantasy"
mark oshiro,"young adult, contemporary, lgbt, fiction, queer, realistic fiction, mental health"
bill konigsberg,"young adult, lgbt, fiction, mental health, contemporary, realistic fiction, audiobook"
cat clarke,"lgbt, middle grade, young adult, contemporary, realistic fiction, fiction, queer"
ruta sepetys,"historical, young adult, historical, fiction, mystery, romance, coming of age"
paulo freire,"education, non-fiction, philosophy, politics, theory, social, teaching"
lucas rocha,"lgbt, contemporary, young adult, queer, fiction, romance, audiobook"
sonya sones,"young adult, poetry, realistic fiction, contemporary, fiction, teen, high school"
eric carle,"picture books, childrens, , art, fiction, space, nature"
walter larimore,"science, parenting, childrens, health, family, non-fiction"
a. ginwright shawn,"education, social, non-fiction, anti racist, race, activism"
ellen hopkins,"young adult, poetry, fiction, contemporary, realistic fiction, mental health, mental health"
jules jacqueline,"childrens, spain, realistic fiction, chapter books"
lynne rickards,"picture books, childrens, fiction, animals, birds, family, emotion"
alex sanchez,"young adult, fiction, abuse, lgbt, contemporary, realistic fiction, teen"
allison lassieur,historical
sara farizan,"lgbt, young adult, romance, contemporary, queer, fiction, lesbian"
cole brock,"young adult, , fiction, realistic fiction, teen, "
lauren myracle,"young adult, fiction, realistic fiction, contemporary, chick lit, romance, teen"
leanne lieberman,"lgbt, young adult, queer, fiction, judaism, religion, realistic fiction"
monica clark-robinson,"picture books, historical, childrens, african american, social, historical, cultural"
hamish steele,"graphic novel, fantasy, lgbt, comic book, young adult, queer, horror"
reem faruqi,"picture books, childrens, muslims, cultural, religion, holiday, realistic fiction"
adler dahlia,"romance, lgbt, young adult, contemporary, lesbian, queer, fiction"
katie cotugno,"romance, young adult, contemporary, new adult, fiction, realistic fiction, young adult"
javaka steptoe,"picture books, biography, art, non-fiction, childrens, african american, biography"
shetterly margot lee,"non-fiction, historical, science, biography, audiobook, feminism, historical"
brown jaye robin,"lgbt, young adult, contemporary, romance, queer, lesbian, fiction"
faith gardner,"mental health, young adult, contemporary, fiction, lgbt, romance, queer"
art coulson,"biography, sports, picture books, non-fiction, historical, native american, childrens"
iris gottlieb,"non-fiction, lgbt, queer, gender, graphic novel, feminism, transgender"
bell derrick,"race, non-fiction, historical, politics, social, african american, social"
andrs miedoso,"chapter books, childrens, humor"
adam rapp,"young adult, fiction, , realistic fiction, teen, contemporary, "
de la pea matt,"young adult, sports, realistic fiction, fiction, contemporary, cultural, baseball"
scott ann herbert,"picture books, family, childrens, fiction, cultural, storytime, realistic fiction"
kwame alexander,"picture books, poetry, historical, non-fiction, childrens, african american, biography"
aziz ansari,"non-fiction, humor, audiobook, romance, comedy, social, psychology"
bray libba,"fantasy, young adult, historical, paranormal, audiobook, mystery, historical"
evison jonathan,", fiction, lgbt, young adult, audiobook, contemporary, coming of age"
norton preston,"young adult, contemporary, realistic fiction, humor, lgbt, fiction, romance"
john green,"young adult, romance, contemporary, christmas, fiction, short stories, holiday"
meyer stephenie,"fantasy, young adult, romance, vampires, fiction, paranormal, paranormal"
anna mcquinn,"picture books, cats, animals, childrens, storytime, fiction, african american"
mahin michael james,"picture books, biography, music, non-fiction, childrens, cultural, historical"
sonia patel,"romance, young adult, contemporary, lgbt, queer, fiction, transgender"
lee stacey,"historical, young adult, historical, fiction, audiobook, romance, asia"
tobly mcsmith,"lgbt, young adult, romance, contemporary, queer, audiobook, fiction"
hill katie rain,"lgbt, non-fiction, memoir, transgender, queer, biography, biography"
olsen shannon,"picture books, school, childrens, family, realistic fiction, school, fiction"
rau dana meachen,"non-fiction, biography, historical, childrens, buddhism, religion, india"
j. ortiz simon,"picture books, historical, non-fiction, native american, childrens, indigenous, cultural"
sarah fabiny,"non-fiction, biography, art, historical, childrens, middle grade, audiobook"
t. klein rebecca,young adult
z brewer,"lgbt, young adult, fantasy, queer, science fiction, transgender, dystopia"
brown monica,"chapter books, childrens, family, , realistic fiction, travel, cultural"
juno dawson,"non-fiction, lgbt, , queer, gay, self help, humor"
hort lenny,"family, picture books, realistic fiction, science, astronomy, space, african american"
la sala ryan,"young adult, romance, contemporary, lgbt, queer, fiction, audiobook"
howard elizabeth fitzgerald,"picture books, historical, african american, childrens, elementary, cultural, historical"
do anh,childrens
de la pea matt,"picture books, childrens, realistic fiction, family, fiction, cultural, african american"
rafe martin,"picture books, childrens, fairy tales, native american, fantasy, fiction, folklore"
j. bick ilsa,"young adult, mystery, lgbt, realistic fiction, fiction, contemporary, teen"
tyler michael,"picture books, childrens, cultural, race, poetry, storytime, non-fiction"
alex london,"fantasy, young adult, lgbt, queer, fiction, young adult, high fantasy"
a. robertson david,"fantasy, middle grade, indigenous, fiction, young adult, canada, adventure"
aaron hartzler,"young adult, contemporary, mystery, realistic fiction, fiction, romance, abuse"
ken mochizuki,"historical, picture books, sports, childrens, baseball, cultural, world war ii"
boelts maribeth,"picture books, childrens, realistic fiction, poverty, fiction, school, cultural"
de robertis carolina,"historical, fiction, lgbt, queer, historical, music, romance"
sara shepard,"mystery, young adult, contemporary, romance, thriller, mystery, fiction"
rick riordan,"fantasy, mythology, young adult, middle grade, fiction, greek mythology, adventure"
judy blume,"young adult, romance, fiction, contemporary, , teen, classics"
foley jessie ann,"young adult, historical, romance, coming of age, fiction, realistic fiction, music"
l. moore darnell,"memoir, non-fiction, lgbt, race, social, queer, biography"
meyer marissa,"fantasy, young adult, science fiction, retellings, dystopia, fiction, romance"
ruta sepetys,"historical, young adult, fiction, historical, war, world war ii, audiobook"
niven jennifer,"romance, young adult, contemporary, fiction, realistic fiction, coming of age, young adult"
s. turner pamela,"picture books, dogs, japan, animals, non-fiction, childrens, asia"
p. c. cast,"young adult, vampires, fantasy, paranormal, romance, supernatural, fiction"
adib khorram,"young adult, contemporary, lgbt, fiction, mental health, queer, realistic fiction"
julie murphy,"young adult, lgbt, contemporary, romance, queer, fiction, audiobook"
lamar giles,"young adult, contemporary, romance, fiction, realistic fiction, audiobook, feminism"
tess sharpe,"young adult, thriller, lgbt, mystery, contemporary, fiction, lesbian"
stan stanley,"graphic novel, fantasy, lgbt, young adult, queer, comic book, romance"
crdova zoraida,"fantasy, young adult, witches, magic, paranormal, fiction, urban"
robert sharenow,"historical, young adult, fiction, historical, sports, world war ii, holocaust"
hutchinson shaun david,"young adult, lgbt, contemporary, romance, queer, fiction, mental health"
j. lawrence lisa,"young adult, contemporary, realistic fiction, canada, retellings, fiction, teen"
ingrande mora maria,"lgbt, young adult, science fiction, fantasy, dystopia, queer, romance"
doreen rappaport,"biography, picture books, non-fiction, historical, indigenous, childrens, native american"
rhodes jewell parker,"middle grade, fantasy, magic, fiction, mermaids, childrens, african american"
nic stone,"young adult, contemporary, fiction, realistic fiction, audiobook, race, social"
robin talley,"historical, lgbt, young adult, historical, fiction, queer, contemporary"
william golding,"fiction, classics, young adult, school, dystopia, , school"
ellen hopkins,"young adult, poetry, lgbt, contemporary, realistic fiction, fiction, audiobook"
pau preto nicki,"fantasy, young adult, young adult, fiction, romance, high fantasy, audiobook"
myers walter dean,"young adult, fiction, african american, realistic fiction, magic, urban, fantasy"
jacobs donald trent,"education, teaching, non-fiction"
maulik pancholy,"middle grade, lgbt, realistic fiction, fiction, contemporary, queer, audiobook"
lo malinda,"fantasy, young adult, lgbt, romance, queer, fiction, retellings"
kaito blue flag,"manga, lgbt, romance, contemporary, comic book, young adult, queer"
j. maas sarah,"fantasy, romance, romance, fiction, fae, fantasy, audiobook"
barnes derrick,"picture books, childrens, poetry, african american, realistic fiction, fiction, cultural"
love jessica,"picture books, lgbt, childrens, queer, realistic fiction, family, love"
megan stine,"biography, non-fiction, historical, childrens, biography, education, african american"
howe james,"young adult, lgbt, fiction, realistic fiction, queer, middle grade, teen"
lauren myracle,"graphic novel, romance, young adult, comic book, comic book, superheroes, graphic novel"
adam silvera,"romance, young adult, lgbt, fiction, contemporary, queer, audiobook"
nancy garden,"lgbt, young adult, romance, queer, fiction, lesbian, classics"
tony medina,"graphic novel, young adult, fiction, realistic fiction, comic book, contemporary, social"
prez ashley hope,"historical, young adult, , fiction, historical, romance, audiobook"
todd parr,"picture books, childrens, lgbt, cultural, fiction, storytime, family"
tyler curry,"picture books, lgbt, childrens, realistic fiction"
m. draper sharon,"young adult, realistic fiction, fiction, african american, contemporary, middle grade, teen"
david williams,"fiction, childrens, middle grade, humor, lgbt, young adult, contemporary"
sara benincasa,"young adult, retellings, contemporary, fiction, lgbt, romance, realistic fiction"
woods brenda,"historical, middle grade, historical, fiction, native american, childrens, juvenile"
marsh sarah glenn,"horror, young adult, paranormal, lgbt, lesbian, mystery, fantasy"
alyssa brugman,"lgbt, young adult, contemporary, realistic fiction, queer, fiction, intersex"
lynn joseph,"young adult, middle grade, fiction, realistic fiction, historical, spain, cultural"
author,genre
forest laurie,"fantasy, young adult, witches, romance, magic, young adult, fiction"
deborah harkness,"fantasy, romance, fiction, historical, paranormal, vampires, witches"
diana athill,"memoir, non-fiction, biography, autobiography, biography, essays, womens"
clare cassandra,"fantasy, young adult, romance, historical, young adult, urban, paranormal"
reyes sonora,"romance, lgbt, young adult, queer, lesbian, contemporary, fiction"
amy ignatow,"middle grade, graphic novel, childrens, humor, realistic fiction, fiction, lgbt"
ian mcewan,"fiction, historical, literary fiction, contemporary, romance, british literature, "
suzanne brockmann,"romance, romance, suspense, military, contemporary, contemporary, fiction"
dav pilkey,"childrens, humor, fiction, graphic novel, middle grade, chapter books, comic book"
mary higgins clark,"mystery, fiction, suspense, thriller, mystery, crime, adult"
alex flinn,"fantasy, young adult, romance, fairy tales, retellings, magic, witches"
dunn pintip,"romance, young adult, contemporary, young adult, young adult, enemies to lovers, fiction"
archer jeffrey,"fiction, thriller, historical, drama, mystery, , politics"
ostrom melissa,"historical, young adult, historical, fiction, romance, young adult, teen"
rees celia,"young adult, contemporary, romance, mystery, realistic fiction, drama, fiction"
rin chupeco,"fantasy, young adult, lgbt, romance, young adult, lesbian, fiction"
david levithan,"young adult, poetry, lgbt, fiction, contemporary, romance, queer"
coontz stephanie,"historical, non-fiction, social, feminism, politics, american, historical"
diana gabaldon,"historical, romance, fantasy, fiction, time travel, historical, historical"
king stephen,"horror, short stories, fiction, fantasy, thriller, anthology, audiobook"
summers courtney,"young adult, thriller, mystery, contemporary, mystery, fiction, audiobook"
james ellroy,"mystery, fiction, crime, noir, historical, true crime, thriller"
daria snadowsky,"young adult, romance, new adult, contemporary, realistic fiction, fiction, young adult"
kidd jess,"historical, fantasy, mystery, fiction, magic, historical, gothic"
goodman jessica,"mystery, young adult, thriller, mystery, contemporary, fiction, audiobook"
hirsh ananth,"graphic novel, romance, young adult, humor, fiction, graphic novel, contemporary"
rice anne,"horror, fantasy, vampires, fiction, paranormal, supernatural, urban"
small david,"graphic novel, comic book, fiction, young adult, coming of age, historical, graphic novel"
chbosky stephen,"young adult, fiction, classics, coming of age, romance, mental health, realistic fiction"
jo knowles,"young adult, realistic fiction, middle grade, contemporary, fiction, family, death"
joshua hanagarne,"non-fiction, memoir, biography, books about books, biography, audiobook, humor"
k. ancrum,"young adult, mystery, lgbt, contemporary, mystery, fiction, thriller"
lauren myracle,"young adult, romance, contemporary, realistic fiction, fiction, , teen"
sarah pinborough,"young adult, mystery, thriller, fiction, contemporary, mystery, crime"
v.c. andrews,"fiction, horror, young adult, romance, gothic, thriller, drama"
morris brittney,"young adult, contemporary, fiction, audiobook, realistic fiction, science fiction, young adult"
sid jacobson,"graphic novel, biography, non-fiction, historical, holocaust, comic book, historical"
john milton,"classics, poetry, fiction, , religion, philosophy, fantasy"
francesca lia block,"young adult, fantasy, fiction, magic, urban, romance, teen"
alok vaid-menon,"non-fiction, lgbt, queer, gender, feminism, audiobook, memoir"
kim hyun sook,"graphic novel, non-fiction, memoir, historical, historical, biography, politics"
tommy wallach,"young adult, contemporary, fiction, science fiction, romance, dystopia, realistic fiction"
jack henry abbott,"non-fiction, biography, true crime, crime, memoir, psychology, biography"
allison anthony,", non-fiction"
robin bridges,"young adult, contemporary, romance, abuse, realistic fiction, poetry, death"
perkins stephanie,"romance, young adult, contemporary, fiction, chick lit, realistic fiction, contemporary"
geoff tibbals,"non-fiction, trivia"
amy ignatow,"middle grade, graphic novel, childrens, humor, realistic fiction, juvenile, graphic novel"
king stephen,"horror, fiction, thriller, suspense, mystery, fantasy, audiobook"
peirce lincoln,"graphic novel, humor, childrens, comic book, fiction, middle grade, juvenile"
john m. cusick,"young adult, contemporary, romance, realistic fiction, fiction, coming of age, chick lit"
king stephen,"horror, fiction, science fiction, thriller, fantasy, aliens, supernatural"
