Title,Mapped Genres
The Belles,"fantasy, young adult, fiction, audiobook, dystopia, young adult, romance"
Almost Flying,"middle grade, lgbt, romance, lesbian, contemporary, queer, fiction"
The Transformation,"historical, young adult, childrens, historical"
Scott Pilgrim Vol. 5: Scott Pilgrim vs. the Universe,"graphic novel, fiction, manga, comic book, young adult, graphic novel, humor"
Between Mom and Jo,"young adult, lgbt, fiction, queer, contemporary, realistic fiction, lesbian"
After Summer,"young adult, fiction, romance, australia, contemporary, teen, realistic fiction"
Big Nate: I Can’t Take It,"graphic novel, comic book, childrens, humor, fiction, juvenile, comic book"
Sadie,"young adult, mystery, audiobook, contemporary, thriller, mystery, fiction"
That Night,"young adult, contemporary, romance, realistic fiction, mental health, fiction, family"
It's Kind of a Funny Story,"young adult, fiction, contemporary, mental health, mental health, realistic fiction, romance"
Be Loved,"christianity, non-fiction, personal development, christianity, faith"
Whispers at Midnight,horror
Luckiest Girl Alive,"fiction, thriller, mystery, audiobook, mystery, contemporary, adult"
Revealed (MPH),"science fiction, time travel, young adult, historical, middle grade, fiction, fantasy"
The Adventures of Tom Sawyer (Sterling),"fiction, classics, adventure, historical, young adult, , childrens"
The Luxe,"historical, young adult, romance, historical, fiction, historical, chick lit"
Does My Head Look Big in This?,"young adult, fiction, contemporary, realistic fiction, religion, islam, teen"
Cress,"fantasy, young adult, science fiction, romance, retellings, dystopia, fiction"
City of Glass,"fantasy, young adult, romance, paranormal, urban, fiction, vampires"
Spirit Bound,"young adult, fantasy, vampires, paranormal, romance, urban, paranormal"
Cursed,"fantasy, young adult, romance, retellings, audiobook, fiction, fairy tales"
Suzanne's Diary for Nicholas,"romance, fiction, chick lit, contemporary, mystery, adult, adult"
Swan Peak,"mystery, fiction, crime, thriller, mystery, audiobook, detective"
The Iron Flower,"fantasy, young adult, romance, magic, audiobook, witches, fiction"
The Mists of Avalon,"fantasy, fiction, historical, arthurian, mythology, classics, historical"
The Clan of the Cave Bear,"historical, fiction, fantasy, historical, classics, adventure, prehistoric"
Roots: The Saga of An American Family,"historical, fiction, classics, historical, african american, africa, race"
On the Road,"fiction, travel, , classics, , american, adventure"
Loud Awake and Lost,"young adult, mystery, contemporary, fiction, romance, realistic fiction, audiobook"
Catching Fire,"young adult, fiction, fantasy, science fiction, romance, audiobook, teen"
One of Us Is Lying,"mystery, young adult, thriller, fiction, contemporary, mystery, romance"
Sunset Boulevard,"young adult, chick lit, teen, fiction, contemporary, high school, romance"
Equus,"plays, drama, fiction, classics, theatre, school, psychology"
Early Humans,"historical, science, non-fiction, childrens, anthropology, prehistoric, prehistoric"
Drums of Autumn,"historical, romance, fantasy, fiction, time travel, historical, historical"
Silence,"fantasy, young adult, romance, angels, paranormal, paranormal, fiction"
Norse Mythology,"fantasy, mythology, fiction, audiobook, short stories, historical, classics"
Marriage of a Thousand Lies,"fiction, lgbt, contemporary, queer, romance, adult, lesbian"
Sophie Hartley and the Facts of Life,"middle grade, realistic fiction"
Duma Key,"horror, fiction, thriller, fantasy, audiobook, mystery, supernatural"
145th Street: Short Stories,"short stories, young adult, fiction, realistic fiction, african american, contemporary, anthology"
Any Way the Wind Blows,"fantasy, young adult, lgbt, queer, fiction, audiobook, magic"
Flirtin' With the Monster: Your Favorite Authors on Ellen Hopkins' Crank and Glass,"non-fiction, poetry, short stories, teen, realistic fiction, contemporary, high school"
The 9th Judgment,"mystery, fiction, crime, thriller, suspense, mystery, audiobook"
The Freedom Writers Diary,"non-fiction, education, memoir, biography, teaching, school, "
Not So Pure and Simple,"young adult, contemporary, romance, fiction, realistic fiction, audiobook, feminism"
Learning to Breathe,"young adult, contemporary, realistic fiction, fiction, cultural, family, young adult"
Firestarter (SK),"horror, fiction, thriller, science fiction, fantasy, paranormal, suspense"
Honestly Ben,"young adult, lgbt, romance, contemporary, queer, audiobook, fiction"
Hunted,"young adult, vampires, fantasy, paranormal, romance, fiction, supernatural"
Tegan and Sara: Junior High,"graphic novel, middle grade, lgbt, queer, comic book, young adult, music"
Kings Rising,"fantasy, lgbt, m m romance, enemies to lovers, queer, adult, fiction"
The Hit,"young adult, science fiction, dystopia, thriller, romance, crime, teen"
11/22/63: A Novel,"fiction, historical, science fiction, time travel, horror, fantasy, thriller"
Dexter Is Delicious,"fiction, mystery, thriller, crime, horror, audiobook, suspense"
All the Bad Apples,"young adult, mystery, fantasy, magic, contemporary, lgbt, fiction"
Code Name Verity,"historical, young adult, fiction, historical, world war ii, war, audiobook"
Ceremony,"fiction, classics, historical, native american, indigenous, school, "
American Dirt,"fiction, audiobook, contemporary, historical, book club, thriller, literary fiction"
Angelfall,"fantasy, young adult, dystopia, angels, paranormal, romance, urban"
Little Mercies,"fiction, contemporary, chick lit, mystery, suspense, womens, thriller"
Ask the Passengers,"young adult, lgbt, contemporary, romance, fiction, realistic fiction, queer"
Munmun,"young adult, fantasy, fiction, science fiction, dystopia, magic, teen"
The Dark Days Club,"fantasy, historical, young adult, historical, paranormal, romance, fiction"
Orphan Train,"historical, fiction, historical, book club, adult, adult, audiobook"
River of Darkness,"mystery, historical, fiction, historical, crime, historical, british literature"
Who Was Maya Angelou?,"biography, non-fiction, childrens, historical, middle grade, biography"
Georgia Peaches and Other Forbidden Fruit,"lgbt, young adult, romance, contemporary, queer, fiction, lesbian"
Does the Noise in My Head Bother You? A Rock 'n' Roll Memoir,"music, biography, non-fiction, autobiography, memoir, biography, audiobook"
Salvage,"young adult, science fiction, dystopia, romance, fantasy, fiction, space"
Perfume: The Story of a Murderer,"fiction, classics, historical, horror, thriller, mystery, crime"
17 First Kisses,"young adult, contemporary, romance, high school, young adult, chick lit, realistic fiction"
Bloodline: A Novel,"vampires, young adult, fantasy, horror, paranormal, historical, fiction"
Two Can Keep a Secret,"mystery, young adult, thriller, mystery, contemporary, fiction, audiobook"
Hooper,"sports, young adult, realistic fiction, contemporary, fiction, basketball, teen"
The Purim Superhero,"picture books, judaism, childrens, lgbt, holiday, family, judaism"
The Witching Hour,"horror, fantasy, fiction, paranormal, witches, supernatural, gothic"
Watch Us Rise,"young adult, contemporary, feminism, fiction, realistic fiction, poetry, social"
The Forest Queen,"fantasy, retellings, young adult, historical, historical, young adult, fairy tales"
To Night Owl from Dogfish,"middle grade, lgbt, fiction, realistic fiction, contemporary, young adult, family"
Chinese Handcuffs,"young adult, sports, realistic fiction, fiction, contemporary, teen, coming of age"
Big Nate: In a Class by Himself,"graphic novel, humor, middle grade, fiction, childrens, realistic fiction, comic book"
The Assignation,"short stories, fiction, short stories, literary fiction, american, american, anthology"
Lore Olympus: Volume Five,"graphic novel, fantasy, romance, mythology, fiction, retellings, greek mythology"
The Usborne Introduction to Art,"art, non-fiction, historical, childrens"
Also Known As,"young adult, contemporary, mystery, romance, espionage, fiction, high school"
We Are All Completely Beside Ourselves,"fiction, contemporary, literary fiction, audiobook, animals, book club, adult"
House of Earth and Blood,"romance, fantasy, romance, fiction, fantasy, urban, adult"
The Charm Offensive,"romance, lgbt, contemporary, queer, fiction, audiobook, adult"
Serafina and the Black Cloak,"fantasy, middle grade, mystery, historical, fiction, young adult, childrens"
Princess on the Brink,"young adult, romance, contemporary, fiction, chick lit, teen, childrens"
Laura Dean Keeps Breaking Up with Me,"graphic novel, lgbt, young adult, romance, comic book, queer, contemporary"
Pigs In Heaven,"fiction, contemporary, literary fiction, adult, , native american, adult"
Born at Midnight,"fantasy, young adult, paranormal, vampires, romance, werewolves, supernatural"
The Forgetting,"young adult, fantasy, dystopia, science fiction, romance, fiction, audiobook"
Predator,"mystery, fiction, crime, thriller, mystery, suspense, murder mystery"
Loveless,"lgbt, young adult, contemporary, queer, fiction, romance, audiobook"
Recovery Road,"young adult, fiction, romance, contemporary, mental health, realistic fiction, teen"
Meet Cute: Some People Are Destined to Meet,"romance, young adult, short stories, contemporary, anthology, lgbt, fiction"
The Parker Inheritance,"mystery, middle grade, historical, realistic fiction, fiction, audiobook, historical"
Squad,"graphic novel, young adult, fantasy, lgbt, horror, queer, lesbian"
Amelia Anne Is Dead and Gone,"young adult, mystery, contemporary, fiction, realistic fiction, romance, thriller"
You Just Can't Get Enough,"young adult, chick lit, fiction, contemporary, high school, romance, teen"
Never Look Back,"young adult, fantasy, romance, retellings, mythology, fiction, magic"
The Complete Stories,"short stories, fiction, classics, , southern gothic, southern, literary fiction"
Perfect,"young adult, mystery, fiction, contemporary, romance, chick lit, thriller"
Misery,"horror, fiction, thriller, mystery, suspense, mystery, adult"
Know My Name,"non-fiction, memoir, audiobook, feminism, biography, true crime, biography"
Leah on the Offbeat,"young adult, lgbt, contemporary, romance, queer, fiction, audiobook"
Lost in Time,"vampires, young adult, fantasy, paranormal, romance, angels, paranormal"
Girlchild,"fiction, young adult, adult, coming of age, contemporary, adult, realistic fiction"
Banished,"fantasy, young adult, retellings, magic, fairy tales, romance, fiction"
Speech Sounds,"fantasy, young adult, romance, fiction, france, audiobook, steampunk"
Fly Away,"fiction, chick lit, audiobook, contemporary, romance, adult, drama"
Clockwork Angel,"fantasy, young adult, romance, paranormal, steampunk, historical, fiction"
The Scottsboro Boys,non-fiction
The Cider House Rules,"fiction, classics, historical, , literary fiction, contemporary, "
Resistance,"historical, young adult, middle grade, world war ii, historical, fiction, holocaust"
Endangered (LG),"mystery, young adult, contemporary, thriller, high school, suspense, mystery"
Going Viral: A Socially Distant Love Story,"romance, lgbt, young adult, realistic fiction, fiction, queer, contemporary"
Grave Mercy,"fantasy, young adult, historical, romance, historical, fiction, young adult"
The Grief Keeper,"young adult, lgbt, contemporary, fiction, queer, romance, lesbian"
Midnight Bayou,"romance, fiction, mystery, paranormal, romance, contemporary, contemporary"
Fence: Rivals,"graphic novel, lgbt, young adult, contemporary, sports, queer, romance"
Cat's Cradle,"fiction, classics, science fiction, humor, , , dystopia"
Cazadora,"fantasy, young adult, fiction, lgbt, audiobook, romance, werewolves"
The Invisible Boy,"picture books, childrens, realistic fiction, fiction, school, , adventure"
Portrait in Death,"mystery, romance, crime, fiction, romance, futuristic, suspense"
The Gathering,"fiction, ireland, ireland, contemporary, literary fiction, , "
The Truth About Alice: A Novel,"young adult, contemporary, fiction, realistic fiction, romance, high school, "
Strange the Dreamer,"fantasy, young adult, fiction, young adult, audiobook, magic, high fantasy"
The Serpents Shadow,"fantasy, mythology, young adult, middle grade, fiction, adventure, magic"
The Magician’s Land,"fantasy, fiction, magic, audiobook, urban, science fiction, adult"
Ordinary Heroes,"fiction, historical, mystery, war, world war ii, mystery, audiobook"
The Young World,"young adult, dystopia, science fiction, post apocalyptic, audiobook, fiction, adventure"
Blink,"mystery, young adult, romance, fiction, teen, crime"
Another Day,"young adult, romance, fantasy, fiction, contemporary, lgbt, audiobook"
Wolves of the Calla,"fantasy, fiction, horror, science fiction, audiobook, westerns, adventure"
Boot Camp,"young adult, realistic fiction, fiction, abuse, survival, contemporary, adventure"
The Becoming of Noah Shaw,"young adult, fantasy, paranormal, romance, mystery, fiction, young adult"
Night Shift,"horror, short stories, fiction, thriller, fantasy, mystery, anthology"
Talking in the Dark: A Poetry Memoir,"poetry, lgbt, young adult, teen, romance, queer, gay"
Pet,"fantasy, young adult, lgbt, fiction, queer, magic, audiobook"
The Reckoning,"young adult, fantasy, paranormal, urban, romance, supernatural, magic"
Stay,"young adult, contemporary, romance, realistic fiction, fiction, abuse, chick lit"
Children of Dune,"science fiction, fiction, fantasy, science fiction, audiobook, space, "
Mosquitoland,"young adult, contemporary, fiction, realistic fiction, mental health, coming of age, mental health"
Linden Hills,"fiction, classics, african american, literary fiction, african american, , american"
Traffick,"young adult, poetry, fiction, contemporary, realistic fiction, lgbt, audiobook"
How Green Was My Valley,"classics, fiction, historical, coming of age, historical, , british literature"
Where We Go From Here,"lgbt, contemporary, young adult, queer, fiction, romance, audiobook"
Still Missing,"thriller, mystery, fiction, mystery, suspense, crime, audiobook"
September Girls,"young adult, fantasy, romance, mermaids, paranormal, contemporary, mystery"
The Pretty Committee Strikes Back,"young adult, contemporary, middle grade, fiction, chick lit, realistic fiction, childrens"
Born Ready: The True Story of a Boy Named Penelope,"picture books, lgbt, childrens, gender, non-fiction, family, transgender"
Recreated,"fantasy, young adult, mythology, romance, paranormal, fiction, magic"
How to Be an Antiracist,"non-fiction, race, social, politics, audiobook, anti racist, historical"
The Bourne Supremacy,"fiction, thriller, mystery, suspense, espionage, action, adventure"
Shadows,"young adult, paranormal, romance, fantasy, aliens, science fiction, paranormal"
Slaughterhouse-Five: The Graphic Novel,"graphic novel, comic book, fiction, classics, science fiction, historical, war"
Sing No Evil,"graphic novel, comic book, fantasy, horror, music, fiction, graphic novel"
Fragile Eternity,"fantasy, young adult, paranormal, romance, urban, fae, fae"
City of Speed,"fantasy, middle grade, dragons, science fiction, lgbt, queer"
Blood Water Paint,"historical, poetry, young adult, historical, fiction, art, feminism"
Pretty Dead,"young adult, vampires, fantasy, paranormal, fiction, romance, supernatural"
Ripley's Believe It or Not!: Seeing Is Believing,"non-fiction, reference"
We Can't Be Friends: A True Story,"memoir, non-fiction, mental health, biography"
Xenocide,"science fiction, fiction, fantasy, science fiction, young adult, audiobook, space"
Dark Lover,"paranormal, vampires, paranormal, fantasy, urban, adult, fiction"
Watchmen,"graphic novel, fiction, science fiction, fantasy, graphic novel, classics, comic book"
Arden Grey,"young adult, contemporary, lgbt, romance, fiction, mental health, audiobook"
The Infinite Sea,"young adult, science fiction, dystopia, aliens, fiction, fantasy, romance"
Snuff,"fiction, contemporary, , horror, adult, humor, american"
Running Loose,"young adult, sports, realistic fiction, fiction, , teen, contemporary"
London Bridges,"mystery, fiction, thriller, crime, mystery, suspense, audiobook"
Anatomy of a Boyfriend,"young adult, romance, contemporary, fiction, realistic fiction, teen, chick lit"
Flip,"young adult, fantasy, paranormal, science fiction, mystery, teen, fiction"
Bog Child,"young adult, historical, fiction, ireland, mystery, historical, teen"
I'll Meet You There,"young adult, contemporary, romance, new adult, realistic fiction, fiction, young adult"
Send Pics,"young adult, high school, teen, contemporary"
The Scorch Trials,"young adult, dystopia, science fiction, fiction, fantasy, adventure, post apocalyptic"
Ash Princess,"fantasy, young adult, romance, young adult, fiction, magic, high fantasy"
The Brothers Story,"historical, young adult, historical, teen, adventure"
Biggest Flirts,"young adult, romance, contemporary, high school, young adult, young adult, contemporary"
Comanche Moon,"westerns, fiction, historical, adventure, historical, audiobook, "
Blue Noon,"young adult, fantasy, paranormal, fiction, urban, science fiction, supernatural"
You Must Not Miss,"young adult, contemporary, magic, fantasy, horror, fiction, young adult"
So Done,"middle grade, realistic fiction, young adult, contemporary, audiobook, family, african american"
Requiem,"young adult, dystopia, romance, fantasy, science fiction, fiction, audiobook"
The Hitchhiker's Guide to the Galaxy,"science fiction, fiction, humor, fantasy, comedy, audiobook, science fiction"
Patron Saints of Nothing,"young adult, contemporary, fiction, realistic fiction, mystery, audiobook, coming of age"
Brave Face: A Memoir,"non-fiction, lgbt, memoir, queer, mental health, biography, audiobook"
Rhymes with Witches,"young adult, fantasy, witches, fiction, horror, paranormal, chick lit"
The Vanishing Season,"young adult, mystery, paranormal, contemporary, romance, fantasy, ghosts"
Khaled Hosseini's The Kite Runner,"fiction, historical, "
Blade Runner (do Androids Dream of Electric Sheep),"science fiction, dystopia, cyberpunk, science fiction, fantasy, , audiobook"
Suck It Up,"young adult, vampires, fantasy, paranormal, fiction, teen, supernatural"
A Sin Such As This,"romance, fiction, contemporary, adult, mystery, thriller, poetry"
The Upside of Unrequited,"young adult, contemporary, romance, lgbt, fiction, queer, audiobook"
The Hike,"fantasy, fiction, horror, science fiction, audiobook, adventure, humor"
A Heart in a Body in the World,"young adult, contemporary, fiction, realistic fiction, audiobook, mental health, young adult"
Raymond Chandler: Stories and Early Novels: Pulp Stories / The Big Sleep / Farewell My Lovely / The High Window,"fiction, mystery, short stories, noir, crime, classics, "
2 Days,"young adult, realistic fiction"
Sent,"science fiction, young adult, time travel, historical, fantasy, middle grade, fiction"
Dune: House Harkonnen,"science fiction, fiction, fantasy, science fiction, audiobook, space, adventure"
Vanishing Acts,"fiction, contemporary, chick lit, mystery, drama, adult, adult"
Who Was Elvis Presley?,"biography, non-fiction, historical, childrens, music, chapter books, biography"
Grave Peril,"fantasy, urban, mystery, fiction, audiobook, paranormal, magic"
The Night Is For Hunting,"young adult, fiction, war, dystopia, australia, adventure, action"
Asking for It,"young adult, contemporary, fiction, feminism, mental health, realistic fiction, ireland"
Felix Ever After,"lgbt, young adult, romance, contemporary, queer, fiction, audiobook"
Special of the Day,"romance, contemporary, contemporary, fiction, chick lit, mystery"
Little Princes: One Man's Promise to Bring Home the Lost Children of Nepal,"non-fiction, memoir, travel, biography, asia, biography, audiobook"
Troublemakers,"young adult, contemporary, lgbt, fiction, politics, family, realistic fiction"
The Last Kid Left,"fiction, mystery, mystery, crime, thriller, , "
The Rag and Bone Shop,"young adult, mystery, fiction, thriller, suspense, realistic fiction, crime"
My Dark Vanessa,"fiction, contemporary, literary fiction, audiobook, adult, thriller, dark"
Don't Look Back,"young adult, mystery, contemporary, romance, thriller, mystery, suspense"
Paper Towns,"young adult, fiction, contemporary, romance, mystery, realistic fiction, coming of age"
Son of a Witch,"fantasy, fiction, adult, retellings, magic, fairy tales, science fiction"
Icebreaker,"sports, sports, contemporary, hockey, enemies to lovers, audiobook, contemporary"
Handcuffs,"young adult, romance, contemporary, realistic fiction, teen, young adult, fiction"
Until Friday Night,"romance, young adult, contemporary, sports, sports, new adult, high school"
Royal Assassin,"fantasy, fiction, epic, high fantasy, audiobook, magic, adult"
Helter Skelter: The True Story of the Manson Murders,"true crime, non-fiction, crime, historical, horror, biography, audiobook"
Petals on the Wind,"fiction, horror, young adult, romance, gothic, thriller, drama"
Carry On,"fantasy, young adult, romance, lgbt, fiction, queer, magic"
1Q84,"fiction, fantasy, magic, japan, science fiction, japan, contemporary"
I'm a Unicorn,"picture books, humor, unicorns, animals, storytime, childrens, fantasy"
The Drawing of the Three,"fantasy, fiction, horror, science fiction, audiobook, adventure, westerns"
The Rise of Nine,"young adult, fantasy, science fiction, fiction, aliens, adventure, paranormal"
The Likeness,"mystery, fiction, crime, thriller, mystery, ireland, audiobook"
Copper Sun,"historical, young adult, fiction, historical, african american, school, teen"
Forged By Fire,"young adult, realistic fiction, fiction, african american, teen, school, abuse"
Summer Spirit,"graphic novel, young adult, comic book, comic book, lgbt, fantasy, paranormal"
Caught,"science fiction, time travel, historical, young adult, fiction, middle grade, fantasy"
Winter's Heart,"fantasy, fiction, epic, audiobook, high fantasy, science fiction, epic"
Room to Dream,"middle grade, realistic fiction, historical, fiction, audiobook, young adult, childrens"
Dumbness is a Dish Best Served Cold,"realistic fiction, humor, middle grade, diary, graphic novel, animals, juvenile"
The Lovely Bones,"fiction, mystery, young adult, contemporary, fantasy, thriller, crime"
American Street,"young adult, contemporary, fiction, magic, realistic fiction, audiobook, romance"
Wayward Son,"fantasy, young adult, lgbt, romance, queer, fiction, audiobook"
The DUFF: Designated Ugly Fat Friend,"young adult, romance, contemporary, fiction, chick lit, high school, realistic fiction"
The Past and Other Things That Should Stay Buried,"young adult, lgbt, contemporary, fantasy, queer, audiobook, fiction"
New Moon,"fantasy, young adult, romance, vampires, fiction, paranormal, paranormal"
Who Was Thomas Jefferson?,"biography, non-fiction, historical, childrens, american, american, historical"
The Invisible Life of Addie LaRue,"fantasy, fiction, romance, historical, adult, historical, magic"
Rules for Life,young adult
Escape,"non-fiction, memoir, biography, religion, cults, biography, autobiography"
Ancient Greece,"historical, non-fiction, greece, childrens, picture books, reference, art"
The Breakaways,"graphic novel, middle grade, lgbt, sports, comic book, realistic fiction, fiction"
Who Was Dr. Seuss?,"biography, non-fiction, childrens, historical, middle grade, chapter books, biography"
Bump and Run,"sports, fiction, football, realistic fiction, humor"
Revenge of a Not-So-Pretty Girl,"young adult, realistic fiction, historical, fiction, abuse, african american, drama"
The Program,"young adult, dystopia, romance, science fiction, fiction, mental health, fantasy"
Burned (EH),"young adult, poetry, fiction, contemporary, romance, realistic fiction, abuse"
The Librarian of Auschwitz: The Graphic Novel,"graphic novel, historical, young adult, comic book, historical, holocaust, comic book"
Strange Grace,"fantasy, young adult, romance, lgbt, witches, paranormal, queer"
The True Story of Hansel and Gretel: A Novel of War and Survival,"historical, fiction, holocaust, world war ii, war, historical, fairy tales"
This Boy,"young adult, realistic fiction, coming of age, fiction, contemporary, romance, teen"
Emergency Contact,"romance, young adult, contemporary, fiction, new adult, audiobook, realistic fiction"
If You Could Be Mine,"young adult, lgbt, romance, fiction, queer, contemporary, realistic fiction"
All the Pretty Horses,"fiction, westerns, historical, classics, , , literary fiction"
Sloppy Firsts,"young adult, romance, fiction, chick lit, contemporary, realistic fiction, teen"
Making Sexual Decisions: The Ultimate Teen Guide,non-fiction
White Hot,"romance, romance, mystery, suspense, fiction, thriller, contemporary"
Revealed (PCC),"fantasy, young adult, vampires, paranormal, romance, fiction, supernatural"
An Abundance of Katherines,"young adult, fiction, romance, contemporary, realistic fiction, coming of age, teen"
Anansi Boys,"fantasy, fiction, urban, mythology, audiobook, science fiction, humor"
All the Pretty Things,"mystery, young adult, thriller, mystery, contemporary, audiobook, murder mystery"
The Witch Boy,"graphic novel, fantasy, middle grade, comic book, lgbt, queer, young adult"
The Best at It,"middle grade, lgbt, realistic fiction, fiction, contemporary, queer, audiobook"
Tell Me How You Really Feel,"romance, lgbt, young adult, contemporary, lesbian, queer, fiction"
Strangeworlds Travel Agency,"middle grade, fantasy, adventure, fiction, childrens, magic, magic"
Party,"young adult, contemporary, fiction, realistic fiction, teen, romance, coming of age"
There's a Hair In My Dirt: A Worm's Story,"humor, fiction, picture books, comic book, childrens, graphic novel, comedy"
Tales of Mystery and Imagination,"classics, fiction"
This Girl,"romance, new adult, contemporary, young adult, contemporary, fiction, chick lit"
The Tommyknockers,"horror, fiction, science fiction, thriller, fantasy, aliens, audiobook"
Beautiful Disaster,"new adult, contemporary, young adult, contemporary, college, fiction, chick lit"
Chasing The Dime,"mystery, fiction, crime, thriller, suspense, mystery, detective"
Turtles All the Way Down,"young adult, fiction, contemporary, mental health, romance, audiobook, realistic fiction"
We Are the Ants,"young adult, lgbt, contemporary, science fiction, fiction, queer, romance"
Three Keys,"middle grade, realistic fiction, historical, fiction, audiobook, childrens, young adult"
The Epic Story of Every Living Thing,"young adult, contemporary, fiction, realistic fiction, audiobook, teen, coming of age"
Chasing Harry Winston,"chick lit, fiction, romance, contemporary, adult, adult, contemporary"
The Accidental Adventures of India McAllister,"childrens, , lgbt, fiction, juvenile, realistic fiction, middle grade"
The Christopher Killer,"mystery, young adult, thriller, crime, fiction, suspense, teen"
Cloud Atlas,"fiction, science fiction, fantasy, historical, dystopia, literary fiction, contemporary"
Friday I'm in Love,"romance, young adult, lgbt, queer, contemporary, lesbian, fiction"
Extremely Loud and Incredibly Close,"fiction, historical, contemporary, , literary fiction, adult, adult"
This Is Our Story,"mystery, young adult, thriller, contemporary, mystery, fiction, romance"
Everything Mythology,"mythology, childrens, non-fiction, historical, juvenile"
The Heart of a Woman,"non-fiction, memoir, biography, autobiography, poetry, classics, african american"
Incarceron,"fantasy, young adult, dystopia, science fiction, steampunk, fiction, adventure"
Someday This Pain Will Be Useful to You,"young adult, fiction, lgbt, queer, contemporary, coming of age, realistic fiction"
Little Brother,"young adult, science fiction, fiction, dystopia, cyberpunk, teen, audiobook"
Rose Under Fire,"historical, young adult, historical, fiction, world war ii, war, audiobook"
Thurgood Marshall: American Revolutionary,"biography, historical, non-fiction, law, politics, american, race"
The Running Man,"horror, fiction, science fiction, thriller, dystopia, audiobook, fantasy"
The Brothers Torres,"young adult, realistic fiction, fiction, romance, contemporary, coming of age, teen"
Primal Waters,"horror, fiction, thriller, science fiction, adventure, action, audiobook"
How Beautiful the Ordinary: Twelve Stories of Identity,"short stories, young adult, lgbt, fiction, anthology, queer, contemporary"
Aristotle and Dante Discover the Secrets of the Universe,"young adult, lgbt, contemporary, fiction, queer, audiobook, coming of age"
Forever...,"young adult, romance, fiction, contemporary, , teen, classics"
The Chosen One,"young adult, fiction, realistic fiction, contemporary, religion, teen, cults"
Half Lost,"fantasy, young adult, lgbt, magic, fiction, paranormal, witches"
Just Fly Away,"young adult, contemporary, fiction, realistic fiction, family, audiobook, romance"
The Mighty Heart of Sunny St. James,"middle grade, lgbt, contemporary, realistic fiction, romance, queer, fiction"
Denton Little's Deathdate,"young adult, humor, science fiction, fiction, contemporary, mystery, audiobook"
The Slave Dancer,"historical, young adult, fiction, childrens, historical, middle grade, classics"
Stolen,"young adult, contemporary, fiction, romance, realistic fiction, thriller, mystery"
You: A Novel of Dark Obsession,"thriller, fiction, mystery, mystery, contemporary, audiobook, adult"
The Awakening (KA),"young adult, fantasy, paranormal, urban, supernatural, romance, magic"
Twisted,"young adult, fiction, realistic fiction, contemporary, teen, coming of age, high school"
The Living,"young adult, adventure, survival, fiction, science fiction, mystery, teen"
A Work in Progress,"non-fiction, memoir, biography, lgbt, autobiography, queer, biography"
Girl Gone Viral,"young adult, science fiction, contemporary, mystery, fiction, fantasy, thriller"
Finders Keepers,"horror, fiction, thriller, mystery, crime, audiobook, mystery"
Metro Girl,"mystery, romance, fiction, chick lit, humor, contemporary, comedy"
The Diviners,"fantasy, young adult, historical, paranormal, mystery, historical, horror"
The Spectacular Now,"young adult, contemporary, romance, fiction, realistic fiction, coming of age, young adult"
Sinner,"young adult, fantasy, romance, paranormal, werewolves, fiction, urban"
Whale Talk,"young adult, fiction, sports, realistic fiction, teen, , contemporary"
Fighting Words,"middle grade, realistic fiction, fiction, young adult, abuse, mental health, contemporary"
The Last Boy and Girl in the World,"young adult, contemporary, romance, fiction, young adult, realistic fiction, audiobook"
Thomas Paine: Crusader for Liberty,"biography, historical, non-fiction, american, politics, middle grade, historical"
Flame in the Mist,"fantasy, young adult, romance, retellings, historical, young adult, fiction"
Teardrop,"fantasy, young adult, romance, paranormal, mythology, fiction, magic"
My Life as a Smashed Burrito With Extra Hot Sauce,"fiction, christianity, childrens, christianity, humor, middle grade, young adult"
Twelve Sharp,"mystery, fiction, humor, chick lit, romance, crime, audiobook"
Over You,"young adult, lgbt, fiction, teen, queer, bisexual, realistic fiction"
Toys,"fiction, thriller, mystery, science fiction, suspense, audiobook, mystery"
Alias Grace,"historical, fiction, mystery, historical, classics, canada, literary fiction"
Four Past Midnight,"horror, fiction, short stories, thriller, fantasy, mystery, suspense"
Spinners,"fantasy, young adult, fairy tales, fiction, retellings, fairy tales, romance"
What If We Were...,"graphic novel, young adult, comic book, lgbt, humor, fiction, contemporary"
The Killer's Cousin,"young adult, mystery, thriller, fiction, realistic fiction, suspense, teen"
The Best from Fantasy and Science Fiction: A Special 25th Anniversary Anthology,"science fiction, fantasy, short stories, anthology, fiction"
Plenty of Hugs,"picture books, lgbt, family, storytime, childrens, love, fiction"
If You Come Softly,"young adult, romance, fiction, contemporary, realistic fiction, audiobook, african american"
Goddess Interrupted,"mythology, young adult, fantasy, romance, paranormal, greek mythology, fiction"
City of Thieves (AL),"fantasy, middle grade, dragons, lgbt, science fiction, audiobook, young adult"
Catherine the Great: Life and Legend,"biography, historical, russia, non-fiction, russia, historical, european history"
Tempted (PCC),"young adult, vampires, fantasy, paranormal, romance, fiction, supernatural"
Friction,"young adult, realistic fiction, abuse, contemporary, fiction, teen, coming of age"
A List of Cages,"young adult, contemporary, fiction, mental health, realistic fiction, young adult, abuse"
Valiant,"fantasy, young adult, urban, fae, romance, fae, fiction"
A Game of Fox and Squirrels,"middle grade, fantasy, magic, fiction, animals, childrens, abuse"
You're the One That I Want,"young adult, chick lit, contemporary, fiction, romance, teen, high school"
Up country : a novel,"fiction, thriller, mystery, mystery, suspense, historical, military"
Blankets,"graphic novel, comic book, fiction, young adult, romance, graphic novel, coming of age"
